sentiment,text,user
-1,"if only gue tinggal di Jakarta gue udah war &amp; beli tiket Be The Sun Pink B + Soundcheck Package ","kevinthedeus_"
1,"@altgwenn We want to he free from war tho","JourneyDbz"
0,"@TruePG718 @William38874041 @EdMemphisPimpin @AngelBeingAngel @_knicks1688 @FahimInsurance @GodSonRel… https://t.co/czxdKyXW9n","MindNy77"
0,"@Chr1stianS04 @dfbschiris Weil der Torwart einfach alles sehen konnte. Beim Schuss von Zalazar war aber klar der Sp… https://t.co/LDS73f9Lqa","sheeshoriginal"
1,"@VladShapedBox @SwipeWright This might be one of the few places that the right can win in the culture war.  DEI wil… https://t.co/cIxhrzk5a2","samknowssome"
0,"@ernstgelaunt @wunderland79 @shatterhaendle Ging ganz gut tatsächlich. Ich glaub, ihm war eh kalt.","_die_janne_"
1,"RT @PabloPlanovsky: Hoy, en Estados Unidos, Top Gun: Maverick superó en recaudación a Avengers: Infinity War. Se estrenó el 27 de mayo: 4 m…","RogueKielm"
0,"RT @__apf__: end result of my war on lawns. 2016 ➡️ 2022 https://t.co/ZtMdFNm96j","whoisthisboiii"
1,"@Styx666Official Yeah, I slept great last night too.  Must be all the Culture War Winning!","JoeSaid76"
-1,"Seriously. This country is really in the middle of a war? https://t.co/QlxxUB4AO2","StanTurner"
1,"RT @drsimonegold: WOW: The British Columbian government wants to require mothers who are denied an exemption to the COVID jab to pay back u…","alink1413"
1,"RT @sensiblemiddle: How is that war on teachers going Florida? \n\nRadical right wing extremist Ron DeSantis, who is really just a cheap imit…","speshalteacher"
0,"@ksorbs Why? Because you side with russia, the genocidal aggressor waging an unprovoked barbaric war against people… https://t.co/y3FbJznNGS","MartaPancake"
0,"RT @ChuckPfarrer: PUTIN'S WAR ON CIVILIANS: Running short of precision strike munitions, Russia has resorted to firing S-300 anti-air missi…","AnonyLegion1112"
1,"RT @DashDobrofsky: Ukraine is successfully fighting back against Putin’s thugs in Crimea. So naturally, all of the Republicans — in lockste…","saenewengland"
1,"@afitz3105 @TiborPNagyJr What more Abiy gov can do? Asked dialogue anywhere anytime without preconditions. is not… https://t.co/ykS8wG5UK7","zebaro2"
1,"@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more.","Hamza_BT92"
0,"RT @aaronjmate: @ZeynabDay @ogbonna_collin @MaxBlumenthal @vanguard_pod Did we watch the same clip? I say that I \"take issue with\" what he…","LoanCardoso13"
1,"i just think it's really a shame that ppl use any situation to inject fuel into this never ending civil war between… https://t.co/GzGVn1UIFa","justkory__"
0,"RT @zerohedge: Zelensky Warns Of 'Nastier' Phase Of War As Russia Says Dugin Car Bombing Was A 'Contract Killing' https://t.co/gIsm9bfYTR","franchiaranda"
1,"RT @afitz3105: @TiborPNagyJr War would be a huge setback for Ethiopia. It is becoming clear that major actors are re-evaluating their view…","Terry_water"
0,"RT @DarthPutinKGB: Day 178 of my 3 day war. Russians in Crimea are making \"goodwill gesture\" and leaving in panicked drove.\n\nI remain a mas…","Bosphiz"
0,"RT @HannaLiubakova: In case you were wondering what country might be the next after #Ukraine, @welt has an answer. Before Putin launched th…","AthenianWalls"
1,"RT @jbrous41: Mans ready for brunch, the office and war.","6thRaikage_"
0,"@AutZeit Nein, das war kein Vorwurf. Mehr so ein Zeichen meiner Blödheit ","inselsucherin"
1,"@ACTBrigitte FASCISM: American oligarchs are using their wealth to control our noble nation, and exclude your voice… https://t.co/xHD6T4eS1D","PatsyTighe"
1,"RT @NRWGCharity: You’ll be able to hear ALL the talks you want at our exciting ‘War and Peace in the Age of Napoleon’ conference, even if t…","LandofRob"
1,"@visegrad24 Yes you're right.  They themselves (Russians)  compare her murder with the 1999 house explosions, which… https://t.co/QzmSgw4DPH","YuliaSfox"
0,"\n\nAs you mock the victims of abduction and killings that is happening in Nigeria. May those terrorists meet you… https://t.co/Hwo9ZGcPSC","ipobTamale"
1,"RT @jbrous41: Mans ready for brunch, the office and war.","bigemmyjr"
0,"RT @SamRamani2: Alexander Dugin in front of a South Ossetia rocket launcher during the 2008 Georgian War https://t.co/4j3MJVyHKY","bowlin_dylan"
0,"RT @kulturbolschewi: @seilgetueddel Mein Vater war damals Kapitän auf einem Stückgutfrachter. Und früher bekam man noch Schulbefreiung, da…","tamhonks"
0,"@alex_davi7 @skidedumb Tau dah...baru buka Twitter juga nongol war","new_thitipoommm"
1,"RT @Tsrha6: 3\nThe sexual violence during z Tigray War as a deliberate pattern of rape as a weapon of war &amp; being done purposely 2break z mo…","Lm_habeshawi"
-1,"RT @woahwhoisthus: . @TommyInnit @TubboLive \nLISTEN FUCKING UP\n\nVolume 1:\n- Season 1: Pre and L’manburg era\n- Season 2: Manburg\n- Season 3:…","wilburslovr"
1,"RT @francis_scarr: In an extremely rare moment of candour on Russian state TV today, defence columnist Mikhail Khodaryonok gave a damning a…","CaraCBlogger8"
0,"RT @ChuckPfarrer: PUTIN'S WAR ON CIVILIANS: Running short of precision strike munitions, Russia has resorted to firing S-300 anti-air missi…","klokamats"
-1,"RT @IAPonomarenko: Remember Russia threatening a “doomsday” for Ukraine in case of an attack upon military facilities in Crimea?\nGuess what…","Cepekmir"
-1,"RT @CobraaTateG: Men used to go to war and now they’re afraid to drink cow milk.","Justinjnr11"
1,"RT @ERCboxoffice: Hey, Avengers...don't get caught in my jet wash.\n\nTOP GUN: MAVERICK dipped just -17% in its 13th week w/ $5.8M, $683M tot…","parag993"
0,"RT @Voicehewan: 4/13\nUsing Rape as a Weapon of War in Tigray, where harrowing witness accounts have emerged of killing Tigrayan men &amp; boys…","ZewdiAbraha1"
0,"RT @easterncomd: #VijayVarsh #LiberationOfBangladesh #MediaHighlights \"This Day That Year\" Build Up of War - 21 Aug 1971 #KnowFacts. \n@adgp…","Narayan43825751"
1,"RT @SwarajyaMag: Daria was just 29. She is the first high-profile supporter of Putin to be assassinated, that too inside Russia, near the c…","bakshi_arnab"
0,"RT @__apf__: end result of my war on lawns. 2016 ➡️ 2022 https://t.co/ZtMdFNm96j","McTrendSetter"
0,"@pt35mm @Antonin_______ @MVPel1970 @Santonastaso_NH in current year federal tax dollars are being used to fund abor… https://t.co/GdpYVeoKPf","hodlthecactus"
1,"RT @Coro_Fae: Kaguya Shinomiya - Kaguya-Sama: Love is War\n四宮かぐや - かぐや様は告らせたい\nhttps://t.co/b7CsqUxhI8 https://t.co/e0u6QT1Ka3","yusuke_ohta_ver"
0,"RT @GiGi49604929: 4/13\nUsing Rape as a Weapon of War in Tigray, where harrowing witness accounts have emerged of killing Tigrayan men &amp; boy…","Tsrha_Kw"
1,"RT @DashDobrofsky: Ukraine is successfully fighting back against Putin’s thugs in Crimea. So naturally, all of the Republicans — in lockste…","ayahowololo"
-1,"RT @StudentsMbbs1: Students who took admission in abroad after 18.11.2021 can't take transfer to other countries as per FMGL Regulations, 2…","Jagruti91486913"
1,"@diaeter UFF\nabba\nfür den GAG war es doch ok ^^","Fairwaltung"
0,"RT @serotanss: while we're at it, let me talk about war of hormone era jungkook\nhttps://t.co/sQas2M2Hni","ApoBangpo_97"
0,"@Poolshark1910 Ich bin komplett bedient. Das war bodenlos.","Credit_piaf"
-1,"@laurenboebert So when’s the last time he sent money to Ukraine that is defending itself in an active war?","jeff_klagenberg"
1,"RT @XSovietNews: Imagine Russians not feeling safe in Crimea or Moscow. War suddenly less fun?","MrJavelin70"
1,"RT @jentaub: So good from @Dahlialithwick via @Slate \n\n“One lesson to be derived from all this is that anyone who tells you not to prosecut…","psychobutchR"
0,"RT @Bolu_Adesina: I see America remains committed to the war on terror #LeeChe https://t.co/cMHJfJUAxP","Vladmiire"
1,"RT @Voicehewan: @telegraph ‘We’re here to make you HIV positive’: 100s of women rush to Tigray hospitals as soldiers use rape as weapon of…","ZewdiAbraha1"
0,"RT @sexcyjeon: 8 y/o war of hormone meeting 2 y/o dyna on the charts today : \nhttps://t.co/TyFxrb7pV5","idontevenknwwhy"
0,"RT @KajStenvall: ” I Bring You Nothing But Darkness”, 2022, oil on board, 50 x 40 cm. #UkraineWar #ukraina #ukraine #slavaukraini #stopputi…","helihorkko"
-1,"RT @IAPonomarenko: Remember Russia threatening a “doomsday” for Ukraine in case of an attack upon military facilities in Crimea?\nGuess what…","V94Valerio"
0,"I tried to pick my battles 'til the battle picked me\nMisery\nLike the war of words I shouted in my sleep","geckoquotes"
0,"RT @JJCarafano: No spin. Why Biden is all messed up.  https://t.co/DLeKESYsUj","jtlover1968"
0,"RT @C345Sam: @UnitedStandMUFC @rxnpixels Tomorrow we go to WAR","MuligaCovington"
